timestamp,temperature,humidity,air_quality,rain,pressure
2026-05-17 15:50:33,26.5,59.2,457,0,1013.4
2026-05-17 15:50:35,26.4,58.4,475,0,1016.69
2026-05-17 15:50:37,26.2,58.4,414,0,1012.92
2026-05-17 15:50:39,27.3,60.7,386,0,1011.29
2026-05-17 15:50:42,27.3,57.3,437,0,1012.95
2026-05-17 15:50:44,27.4,58.1,382,0,1009.28
2026-05-17 15:50:52,26.8,57.5,405,0,1011.7
2026-05-17 15:50:54,27.5,58.9,406,0,1016.87
2026-05-17 15:50:56,27.1,59.6,386,0,1016.66
2026-05-17 15:50:58,26.4,59.5,432,0,1015.07
2026-05-17 15:51:06,27.4,61.9,431,0,1010.46
2026-05-17 15:51:15,27.6,57.6,399,0,1013.26
2026-05-17 15:51:17,25.7,63.0,442,1,1014.33
2026-05-17 15:51:19,26.8,58.2,429,0,1018.02
2026-05-17 15:51:21,26.1,59.9,426,0,1009.93
2026-05-17 15:51:23,27.8,59.2,471,1,1017.91
2026-05-17 15:51:25,25.7,57.4,400,0,1014.0
2026-05-17 15:51:27,28.0,60.1,445,0,1015.15
2026-05-17 15:51:29,27.4,61.6,435,0,1016.88
2026-05-17 15:51:31,26.5,60.7,461,0,1017.41
2026-05-17 15:51:33,26.9,59.4,375,0,1012.97
2026-05-17 15:51:35,27.4,59.5,340,0,1016.96
2026-05-17 15:51:37,27.7,60.0,442,0,1014.25
2026-05-17 15:51:46,26.8,57.8,398,0,1014.98
2026-05-17 15:51:48,27.7,57.5,400,0,1013.95
2026-05-17 15:51:50,27.5,61.9,433,0,1011.75
2026-05-17 15:51:52,26.3,59.4,370,0,1009.03
2026-05-17 15:51:54,25.7,61.9,420,0,1013.97
2026-05-17 15:51:56,25.6,57.3,356,0,1011.69
2026-05-17 15:51:58,25.7,57.8,356,0,1011.24
2026-05-17 15:52:00,27.2,61.7,437,1,1014.88
2026-05-17 15:52:02,26.6,61.1,364,0,1009.73
2026-05-17 15:52:04,25.5,59.6,433,0,1017.02
2026-05-17 15:52:06,25.7,62.7,434,0,1009.71
2026-05-17 15:52:08,26.6,60.1,384,0,1015.09
2026-05-17 15:52:17,25.8,57.1,365,0,1008.71
2026-05-17 15:52:19,25.3,59.2,357,0,1017.06
2026-05-17 15:52:21,27.5,61.3,484,0,1011.63
2026-05-17 15:52:23,25.7,57.2,389,0,1008.54
2026-05-17 15:52:25,26.0,60.0,378,0,1011.18
